@relation miRNA-weka.filters.supervised.instance.SMOTE-C0-K5-P66.6666666667-S1

@attribute feat0 numeric
@attribute feat1 numeric
@attribute feat2 numeric
@attribute feat3 numeric
@attribute feat4 numeric
@attribute feat5 numeric
@attribute feat6 numeric
@attribute feat7 numeric
@attribute feat8 numeric
@attribute feat9 numeric
@attribute feat10 numeric
@attribute feat11 numeric
@attribute feat12 numeric
@attribute feat13 numeric
@attribute feat14 numeric
@attribute feat15 numeric
@attribute feat16 numeric
@attribute feat17 numeric
@attribute feat18 numeric
@attribute feat19 numeric
@attribute class {real,pseudo}

@data
0.009901,-0.007707,-2.9017,1.5843,-50.1,15.52,0.174312,10.810811,7.4,-0.022707,0.821321,0.278756,1.151818,2.557038,2.302689,0.325711,0.318861,0.003994,0.362516,4.248117,real
0.009901,-0.009867,-6.1407,0.7954,-90.5,27.933333,0.173913,4.545455,7.333333,-0.030944,0.954242,0.304212,1.93624,2.633119,2.395584,0.311626,0.307342,0.007443,0.446798,3.012482,real
0.009901,-0.007824,-4.5922,2.8185,-46.425,19.725,0.144737,3.703704,6.75,-0.022027,0.893378,0.317417,1.4585,3.087002,3.118467,0.304073,0.411481,0.012423,0.5308,3.740041,real
0.019802,-0.008171,-2.9972,2.1684,-65.533333,27.333333,0.147727,12.903226,10.333333,-0.023195,0.881647,0.310604,1.250618,2.984587,3.176111,0.274042,0.524989,0.025395,0.471756,1.998873,real
0.019802,-0.00768,-2.4926,3.0909,-140.45,43.35,0.109756,29.411765,17,-0.018523,0.784634,0.325309,1.010968,4.593877,2.025082,0.235491,0.334688,0.014186,0.583758,3.994707,real
0.009901,-0.009123,-4.7126,2.8282,-88.566667,26.9,0.189189,7.142857,9.333333,-0.024109,0.988514,0.374054,1.8808,4.064611,3.896126,0.295742,0.310319,0.014081,0.439448,5.024948,real
0.019802,-0.006,-2.8547,2.837,-24.533333,14.15,0.1375,7.142857,4.666667,-0.017143,0.75,0.2625,1.090594,2.5,2.00509,0.333241,0.374463,0.045566,0.460177,4.51793,real
0.009901,-0.010648,-5.5983,2.8847,-75.7,25.8,0.180723,18.75,10.666667,-0.027619,0.996543,0.384167,2.002122,4.351717,6.347773,0.219662,0.621227,0.012156,0.507219,7.586055,real
0.009901,-0.0095,-7.0969,3.1685,-64.28,16.96,0.19,13.157895,7.6,-0.025,0.93125,0.353875,1.805737,3.880208,3.92206,0.257911,0.608339,0.004844,0.546113,8.906644,real
0.009901,-0.01288,-9.2366,3.0581,-70.9,28,0.2,12.121212,11,-0.033176,0.952619,0.369807,2.257417,4.260371,2.491693,0.247036,0.412837,0.000002,0.57692,5.782201,real
0.009901,-0.010978,-7.313,4.3199,-57.933333,24.066667,0.152941,14.705882,11.333333,-0.027446,0.99,0.396,2.06784,4.95,3.506734,0.203682,0.480956,0.01792,0.710288,2.961874,real
0.009901,-0.011481,-7.7106,2.612,-89.033333,23.2,0.2,15.384615,8.666667,-0.030911,0.948696,0.352346,2.776057,3.688552,4.245027,0.270749,0.378661,0.001845,0.713877,3.085311,real
0.009901,-0.009022,-4.9142,1.0596,-87.233333,28.233333,0.102273,20.689655,9.666667,-0.027379,0.908214,0.299257,1.436025,2.663385,1.685831,0.353943,0.475958,0.000672,0.365695,2.357205,real
0.009901,-0.010803,-7.9077,2.674,-71.425,18.725,0.177778,8.823529,8.5,-0.028598,0.96,0.362688,1.890767,3.927987,3.393905,0.228805,0.558744,0.010156,0.659595,5.126782,real
0.009901,-0.011512,-8.1066,3.175,-54.566667,26.9,0.182927,9.375,10.666667,-0.0295,0.986585,0.384966,2.036332,4.492647,5.824411,0.222369,0.608143,0.000003,0.492885,2.004344,real
0.009901,-0.009024,-4.3708,1.7197,-59.825,20.025,0.15625,17.647059,8.5,-0.02548,0.885161,0.313524,1.40849,3.035533,2.504729,0.31439,0.424293,0.000693,0.485441,4.977693,real
0.009901,-0.008854,-4.0445,2.7806,-152.8,36.85,0.137931,12.5,16,-0.024073,0.784524,0.288548,1.267262,2.967185,2.245969,0.297487,0.382713,0.036571,0.376267,3.004014,real
0.009901,-0.01,-6.4644,3.3118,-37.56,14.84,0.172043,14.705882,6.8,-0.02735,0.94,0.343664,1.720843,3.497024,3.830762,0.268939,0.454617,0.004553,0.449944,4.57399,real
0.009901,-0.010188,-7.3845,2.4431,-99.3,23.4,0.173913,12,8.333333,-0.028116,0.996716,0.36111,2.182296,3.619159,4.067599,0.263213,0.626202,0.050989,0.510259,3.663448,real
0.009901,-0.009374,-5.8866,2.1493,-170.95,41.75,0.164835,18.181818,16.5,-0.02585,0.882,0.319813,1.482153,3.209607,2.376353,0.276269,0.384707,0.011128,0.500569,6.524509,real
0.009901,-0.012931,-7.5504,3.5525,-86.366667,28.466667,0.240506,12.121212,11,-0.030955,0.928701,0.387919,2.462615,5.642171,5.938975,0.164548,0.755307,0.00047,0.629858,7.420239,real
0.019802,-0.007334,-2.3059,0.6427,-56.433333,26.033333,0.125,15,6.666667,-0.023464,0.865345,0.27042,1.272397,2.307586,2.280031,0.359643,0.43954,0.011948,0.707779,3.625841,real
0.009901,-0.009127,-4.1782,0.7329,-84.733333,27,0.134146,14.814815,9,-0.027723,0.922532,0.30379,1.494688,2.702202,2.171501,0.310058,0.546216,0.015919,0.371869,1.388362,real
0.019802,-0.011166,-5.418,0.774,-50.55,20,0.204301,3.448276,7.25,-0.035808,0.913261,0.284755,1.582501,2.426304,2.078777,0.353189,0.433181,0.020143,0.714353,13.676438,real
