@relation dataset

@attribute G+C numeric
@attribute MFEI1 numeric
@attribute MFEI2 numeric
@attribute dG numeric
@attribute dQ numeric
@attribute dF numeric
@attribute ZD numeric
@attribute EAFE numeric
@attribute Diff numeric
@attribute dS numeric
@attribute dS/L numeric
@attribute Avg_Bp_Stem numeric
@attribute |A-U|/L numeric
@attribute |G-C|/L numeric
@attribute |G-U|/L numeric
@attribute (A-U)/stems numeric
@attribute (G-C)/stems numeric
@attribute (G-U)/stems numeric
@attribute MFEI3 numeric
@attribute MFEI4 numeric
@attribute Diversity numeric
@attribute tri1 numeric
@attribute tri2 numeric
@attribute tri3 numeric
@attribute tri4 numeric
@attribute loops numeric
@attribute dustmasker numeric
@attribute translation numeric
@attribute CLASS {0,1}

@data
42.22,-0.005236854571293226,-0.04422222222222222,-0.2211,0.3399,0.267949,0.0410,-0.2378888888888889,0.016777777777777794,-685.2,-7.613333333333334,5.6,0.15555555555555556,0.1,0.05555555555555555,10.0,6.428571428571429,3.5714285714285716,-0.03685185185185185,-0.7107142857142856,9.405,0.112359550562,0.14606741573,0.0674157303371,0.0337078651685,0.0,0.0,0.333333333333,0
42.67,-0.005519100070307007,-0.059,-0.2355,0.4065,0.381966,0.0473,-0.26026666666666665,0.024799999999999992,-442.8,-5.904,4.75,0.10666666666666667,0.14666666666666667,0.0,10.526315789473685,14.473684210526315,0.0,-0.0472,-0.9294736842105263,9.195,0.0945945945946,0.0675675675676,0.0810810810811,0.0810810810811,0.0,0.0,0.333333333333,0
50.00,-0.007056,-0.11759259259259258,-0.3528,0.0316,0.585786,0.0385,-0.35527777777777775,0.002499999999999996,-574.6,-7.980555555555556,7.333333333333333,0.09722222222222222,0.1527777777777778,0.05555555555555555,10.606060606060606,16.666666666666668,6.060606060606061,-0.08819444444444444,-1.1545454545454545,0.645,0.056338028169,0.12676056338,0.140845070423,0.0985915492958,0.0,0.0,0.333333333333,0
55.56,-0.004902807775377969,-0.06805555555555556,-0.2724,0.3473,0.381966,0.0451,-0.29819444444444443,0.025833333333333326,-491.4,-6.824999999999999,5.0,0.08333333333333333,0.16666666666666666,0.027777777777777776,7.5,15.0,2.5,-0.05444444444444445,-0.9804999999999999,7.695,0.056338028169,0.0704225352113,0.140845070423,0.0985915492958,0.0,0.0,0.333333333333,0
46.34,-0.0048424687095381955,-0.05609756097560975,-0.2244,0.2411,0.381966,0.0533,-0.24853658536585366,0.024146341463414638,-648.4,-7.907317073170732,6.0,0.12195121951219512,0.14634146341463414,0.024390243902439025,10.416666666666666,12.5,2.0833333333333335,-0.0448780487804878,-0.7666666666666666,6.425,0.0740740740741,0.0864197530864,0.0617283950617,0.0617283950617,0.0,0.0,0.341463414634,0
46.77,-0.005653196493478726,-0.132258064516129,-0.2644,0.2485,1.000000,0.0316,-0.2814516129032258,0.017096774193548367,-383.0,-6.17741935483871,9.5,0.12903225806451613,0.11290322580645161,0.06451612903225806,21.05263157894737,18.42105263157895,10.526315789473685,-0.08817204301075267,-0.8626315789473684,4.695,0.0983606557377,0.147540983607,0.114754098361,0.0655737704918,0.0,0.0,0.225806451613,0
43.55,-0.006036739380022963,-0.13145161290322582,-0.2629,0.3261,1.000000,0.0394,-0.29564516129032253,0.03274193548387093,-395.6,-6.380645161290323,10.0,0.12903225806451613,0.11290322580645161,0.08064516129032258,20.0,17.5,12.5,-0.08763440860215055,-0.8150000000000001,6.525,0.0491803278689,0.131147540984,0.131147540984,0.0819672131148,0.0166666666667,0.0,0.338709677419,0
38.16,-0.006213312368972747,-0.05921052631578947,-0.2371,0.1529,0.381966,0.0569,-0.2586842105263158,0.02157894736842106,-567.5,-7.467105263157895,5.5,0.13157894736842105,0.10526315789473684,0.05263157894736842,11.363636363636363,9.090909090909092,4.545454545454546,-0.047368421052631574,-0.8190909090909091,4.06,0.0933333333333,0.16,0.0933333333333,0.0533333333333,0.0,0.0,0.328947368421,0
45.83,-0.00601789221034257,-0.13819444444444443,-0.2758,0.1181,1.000000,0.0316,-0.28791666666666665,0.012083333333333347,-509.4,-7.074999999999999,9.0,0.08333333333333333,0.1388888888888889,0.027777777777777776,16.666666666666668,27.77777777777778,5.555555555555555,-0.09212962962962962,-1.1033333333333333,2.28,0.0281690140845,0.0704225352113,0.0845070422535,0.0704225352113,0.0,0.0,0.333333333333,0
60.67,-0.006408439096752925,-0.07775280898876405,-0.3888,0.1226,0.267949,0.0364,-0.40808988764044946,0.0193258426966292,-663.5,-7.455056179775281,6.2,0.10112359550561797,0.19101123595505617,0.056179775280898875,5.806451612903226,10.96774193548387,3.225806451612903,-0.0647940074906367,-1.1161290322580646,4.095,0.0681818181818,0.113636363636,0.102272727273,0.102272727273,0.0,0.0,0.337078651685,0
